customer_id,age,income,tenure_months,orders,total_spend,preferred_channel,city,complaints
C001,22,35000,6,4,12000,Online,Chennai,1
C002,31,52000,18,12,45000,Mobile,Bengaluru,0
C003,,68000,24,18,72000,Online,Chennai,0
C004,45,42000,30,9,31000,Store,Hyderabad,2
C005,29,,12,7,22000,Mobile,Bengaluru,1
C006,38,85000,42,25,125000,Online,Mumbai,0
C007,26,39000,8,5,15000,Online,Chennai,0
C008,52,91000,55,31,168000,Store,Mumbai,1
C009,34,57000,20,14,51000,Mobile,Delhi,0
C010,41,61000,36,16,68000,Online,Hyderabad,3
C011,27,46000,10,6,19000,Mobile,Delhi,1
C012,36,73000,28,20,83000,Online,Bengaluru,0
C013,49,79000,48,22,102000,Store,Mumbai,1
C014,24,32000,5,3,9000,Online,Chennai,0
C015,33,59000,22,11,47000,Mobile,Delhi,2
C016,44,67000,39,19,76000,Store,Hyderabad,0
C017,30,51000,15,8,29000,Online,Bengaluru,1
C018,57,98000,60,35,195000,Store,Mumbai,0
C019,28,41000,9,5,17000,Mobile,Chennai,0
C020,39,62000,33,17,70000,Online,Delhi,2
