customer_id,age,income,tenure_months,orders,total_spend,preferred_channel,city,complaints,churn
C001,22,35000,6,4,12000,Online,Chennai,1,1
C002,31,52000,18,12,45000,Mobile,Bengaluru,0,0
C003,,68000,24,18,72000,Online,Chennai,0,0
C004,45,42000,30,9,31000,Store,Hyderabad,2,0
C005,29,,12,7,22000,Mobile,Bengaluru,1,1
C006,38,85000,42,25,125000,Online,Mumbai,0,0
C007,26,39000,8,5,15000,Online,Chennai,0,1
C008,52,91000,55,31,168000,Store,Mumbai,1,0
C009,34,57000,20,14,51000,Mobile,Delhi,0,0
C010,41,61000,36,16,68000,Online,Hyderabad,3,1
C011,27,46000,10,6,19000,Mobile,Delhi,1,1
C012,36,73000,28,20,83000,Online,Bengaluru,0,0
C013,49,79000,48,22,102000,Store,Mumbai,1,0
C014,24,32000,5,3,9000,Online,Chennai,0,1
C015,33,59000,22,11,47000,Mobile,Delhi,2,0
C016,44,67000,39,19,76000,Store,Hyderabad,0,0
C017,30,51000,15,8,29000,Online,Bengaluru,1,1
C018,57,98000,60,35,195000,Store,Mumbai,0,0
C019,28,41000,9,5,17000,Mobile,Chennai,0,1
C020,39,62000,33,17,70000,Online,Delhi,2,0
C021,35,55000,17,10,38000,Mobile,Chennai,1,0
C022,43,64000,31,15,62000,Online,Bengaluru,2,0
C023,25,37000,7,4,13000,Mobile,Delhi,1,1
C024,47,82000,51,27,140000,Store,Mumbai,0,0
C025,32,48000,13,7,25000,Online,Hyderabad,2,1
C026,40,69000,34,18,79000,Mobile,Chennai,0,0
C027,23,33000,4,2,7000,Online,Delhi,2,1
C028,50,88000,45,24,118000,Store,Bengaluru,0,0
C029,37,60000,25,13,54000,Online,Hyderabad,1,0
C030,29,44000,11,6,21000,Mobile,Chennai,2,1
C031,46,76000,41,21,97000,Store,Mumbai,1,0
C032,33,53000,19,9,35000,Online,Delhi,0,0
C033,21,30000,3,2,6000,Mobile,Chennai,2,1
C034,54,93000,58,33,180000,Store,Mumbai,0,0
C035,42,71000,37,19,81000,Online,Bengaluru,1,0
C036,28,40000,8,4,14000,Mobile,Hyderabad,2,1
C037,48,80000,47,23,110000,Store,Delhi,0,0
C038,36,58000,23,12,49000,Online,Chennai,1,0
C039,26,36000,6,3,10000,Mobile,Bengaluru,2,1
C040,51,87000,53,29,150000,Store,Mumbai,0,0
C041,31,50000,14,8,27000,Online,Delhi,1,1
C042,39,65000,32,16,67000,Mobile,Hyderabad,0,0
C043,24,34000,5,3,8000,Online,Chennai,2,1
C044,45,78000,44,22,105000,Store,Bengaluru,0,0
C045,34,56000,21,11,43000,Mobile,Delhi,1,0
C046,27,38000,9,5,16000,Online,Hyderabad,2,1
C047,53,90000,57,30,162000,Store,Mumbai,0,0
C048,38,62000,27,14,57000,Online,Chennai,0,0
C049,22,31000,4,2,6500,Mobile,Delhi,2,1
C050,41,70000,35,18,74000,Store,Bengaluru,1,0
